metric,split,data,r
mcc,random,carcinogens_lagunin,0.5950980444454366
mcc,random,skin,0.7826922278072055
mcc,random,dili,0.6194715952763816
mcc,random,hia_hou,0.9360538959569729
mcc,random,bioavailability_ma,0.9319459941315327
mcc,random,herg,0.8144600019239431
mcc,random,pgp_broccatelli,0.8133645614371591
mcc,random,clintox,0.8058644295802073
mcc,random,bace,0.7134056170181142
mcc,random,bbbp,0.6359032025781426
mcc,random,ames,0.522251252074297
mcc,random,CYP2C19_Veith,0.36752028331604963
mcc,scaffold_random,carcinogens_lagunin,0.4841846951585512
mcc,scaffold_random,skin,0.8599207821254813
mcc,scaffold_random,dili,0.7065591139757139
mcc,scaffold_random,hia_hou,0.9557718247190857
mcc,scaffold_random,bioavailability_ma,0.9453651400946375
mcc,scaffold_random,herg,0.8837466127130343
mcc,scaffold_random,pgp_broccatelli,0.9040122617185394
mcc,scaffold_random,clintox,0.8384716608348978
mcc,scaffold_random,bace,0.7287417838330911
mcc,scaffold_random,bbbp,0.5819527586040278
mcc,scaffold_random,ames,0.5556621869212107
mcc,scaffold_random,CYP2C19_Veith,0.46008500444930206
