metric,split,data,r
mcc,random,carcinogens_lagunin,0.1258894362342638
mcc,random,skin,0.5446086480569239
mcc,random,dili,0.7115489874110563
mcc,random,hia_hou,-0.11384783798576902
mcc,random,bioavailability_ma,0.18500273672687464
mcc,random,herg,0.030103995621236997
mcc,random,pgp_broccatelli,0.4876847290640395
mcc,random,clintox,0.7274220032840722
mcc,random,bace,0.14833059660645867
mcc,random,bbbp,0.21127531472359057
mcc,random,ames,0.3426382047071702
mcc,random,CYP2C19_Veith,0.6102900930487137
mcc,scaffold_random,carcinogens_lagunin,0.08483853311439518
mcc,scaffold_random,skin,0.5413245758073344
mcc,scaffold_random,dili,0.43076081007115485
mcc,scaffold_random,hia_hou,0.02681992337164751
mcc,scaffold_random,bioavailability_ma,0.33497536945812806
mcc,scaffold_random,herg,0.052545155993431854
mcc,scaffold_random,pgp_broccatelli,0.02463054187192118
mcc,scaffold_random,clintox,0.7717569786535304
mcc,scaffold_random,bace,0.21237000547345375
mcc,scaffold_random,bbbp,0.2205801860974275
mcc,scaffold_random,ames,0.03831417624521073
mcc,scaffold_random,CYP2C19_Veith,0.6141215106732347
