dataset,model,split,roc-auc,mcc,recall,precision,f1_score,accuracy,seed
carcinogens_lagunin,RF-Morgan,random,0.8669028340080972,0.6224309481806818,0.7857624831309042,0.8389355742296918,0.8082366907131768,0.8928571428571429,0
carcinogens_lagunin,RF-Morgan,random,0.798098983939692,0.5612296281466873,0.7133726647000983,0.8690476190476191,0.7571180732727829,0.8785714285714286,1
carcinogens_lagunin,RF-Morgan,random,0.8898721730580137,0.649696400745445,0.7689282202556539,0.8923959827833572,0.8112480739599384,0.9,2
carcinogens_lagunin,RF-Morgan,random,0.8171212121212121,0.5507607227620481,0.7075757575757575,0.8653333333333333,0.7484633569739954,0.8642857142857143,3
carcinogens_lagunin,RF-Morgan,random,0.853802900266351,0.5917763574721574,0.7327611719443623,0.8761358201817312,0.7737068965517242,0.8714285714285714,4
carcinogens_lagunin,RF-Morgan,random,0.7961516203703703,0.529159588934238,0.6828703703703703,0.8827983040581466,0.7219858156028368,0.85,5
carcinogens_lagunin,RF-Morgan,random,0.7889030612244897,0.4160251471689218,0.6339285714285714,0.823076923076923,0.6650717703349281,0.8428571428571429,6
carcinogens_lagunin,RF-Morgan,random,0.8903030303030304,0.6331217169742315,0.7454545454545455,0.908266129032258,0.791898922333705,0.8857142857142857,7
carcinogens_lagunin,RF-Morgan,random,0.8294270833333333,0.4746645424938335,0.6846064814814814,0.8051171688187471,0.7155225726654298,0.8357142857142857,8
carcinogens_lagunin,RF-Morgan,random,0.8594617092119866,0.540628718960347,0.6764705882352942,0.9140625,0.7138610182088443,0.8428571428571429,9
carcinogens_lagunin,RF-Morgan,random,0.8799702712746191,0.6875521968931968,0.7783351913786696,0.9246031746031746,0.8287176064953843,0.9214285714285714,10
carcinogens_lagunin,RF-Morgan,random,0.826677994902294,0.5908455477093773,0.7435570659869726,0.8583333333333334,0.7789044967168148,0.8642857142857143,11
carcinogens_lagunin,RF-Morgan,random,0.8466440101954121,0.5441286842723766,0.6922967997734353,0.8849206349206349,0.7315313669984477,0.85,12
carcinogens_lagunin,RF-Morgan,random,0.8384347826086956,0.5900749154108328,0.7156521739130435,0.9036458333333331,0.766433099766433,0.8928571428571429,13
carcinogens_lagunin,RF-Morgan,random,0.8600497048772912,0.563752718372426,0.7151289220254737,0.8693333333333333,0.7573189522342065,0.8714285714285714,14
carcinogens_lagunin,RF-Morgan,random,0.8298918387413963,0.5916089016723513,0.7318911832186168,0.8773333333333333,0.7759103641456583,0.8857142857142857,15
carcinogens_lagunin,RF-Morgan,random,0.8015685113939035,0.5654264845015184,0.7166321396862977,0.8689516129032258,0.7570998082366907,0.8642857142857143,16
carcinogens_lagunin,RF-Morgan,random,0.8512436224489797,0.5168276713895954,0.6875,0.8561477892186553,0.7285437289519339,0.8642857142857143,17
carcinogens_lagunin,RF-Morgan,random,0.8755502200880351,0.6400062006807582,0.792717086834734,0.8498326159732186,0.8173118747281427,0.9142857142857144,18
carcinogens_lagunin,RF-Morgan,random,0.8297724750277469,0.6054267585033803,0.7305771365149833,0.8974175035868006,0.7722407740388733,0.8642857142857143,19
carcinogens_lagunin,RF-RDKit,random,0.8869770580296895,0.6517889334495192,0.8049932523616734,0.8482280431432974,0.8239942528735631,0.9,0
carcinogens_lagunin,RF-RDKit,random,0.8035070468698786,0.5942683104929389,0.7459849229760733,0.8589191774270684,0.7842835130970724,0.8857142857142857,1
carcinogens_lagunin,RF-RDKit,random,0.8459521468371025,0.6210569361969396,0.7504097017371354,0.8850806451612903,0.793935825728584,0.8928571428571429,2
carcinogens_lagunin,RF-RDKit,random,0.8272727272727274,0.5938556868486718,0.7727272727272727,0.8232758620689655,0.7935103244837758,0.8714285714285714,3
carcinogens_lagunin,RF-RDKit,random,0.8002367564368156,0.5733122823215523,0.751257768570583,0.8270416024653313,0.7789044967168149,0.8642857142857143,4
carcinogens_lagunin,RF-RDKit,random,0.7803819444444445,0.5264017148833187,0.6938657407407407,0.8573333333333333,0.7315313669984477,0.85,5
carcinogens_lagunin,RF-RDKit,random,0.8588966836734694,0.5196152422706631,0.7008928571428571,0.8360000000000001,0.7389853792562064,0.8642857142857143,6
carcinogens_lagunin,RF-RDKit,random,0.8601515151515151,0.6331217169742315,0.7454545454545455,0.908266129032258,0.791898922333705,0.8857142857142857,7
carcinogens_lagunin,RF-RDKit,random,0.824074074074074,0.5531996952761935,0.7204861111111112,0.8469945355191257,0.7565217391304347,0.8571428571428571,8
carcinogens_lagunin,RF-RDKit,random,0.8766648168701443,0.5156024371868447,0.6617647058823529,0.9108527131782946,0.6955082742316785,0.8357142857142857,9
carcinogens_lagunin,RF-RDKit,random,0.8732813080639167,0.5501171869980869,0.7701597918989224,0.7800462249614792,0.7749408983451538,0.8785714285714286,10
carcinogens_lagunin,RF-RDKit,random,0.8431039365618805,0.5663863061785012,0.7179269328802039,0.8680057388809181,0.7565217391304347,0.8571428571428571,11
carcinogens_lagunin,RF-RDKit,random,0.8564146134239593,0.5693615431247435,0.7074483149249504,0.8906666666666667,0.7485632183908045,0.8571428571428571,12
carcinogens_lagunin,RF-RDKit,random,0.8424347826086956,0.5017719327182102,0.7026086956521739,0.8106666666666666,0.7374999999999999,0.8714285714285714,13
carcinogens_lagunin,RF-RDKit,random,0.8628456042249145,0.6461695719156504,0.7668530599565082,0.8911657559198543,0.8082366907131768,0.8928571428571429,14
carcinogens_lagunin,RF-RDKit,random,0.856440511307768,0.5463587989594425,0.7371353654539495,0.8147020443671161,0.765886287625418,0.8714285714285714,15
carcinogens_lagunin,RF-RDKit,random,0.8176975436519681,0.6174698089036763,0.7488902042024268,0.8829690346083788,0.7897340754483612,0.8785714285714286,16
carcinogens_lagunin,RF-RDKit,random,0.8459821428571428,0.6341923244190084,0.7589285714285714,0.8883309421329507,0.8014184397163121,0.8928571428571429,17
carcinogens_lagunin,RF-RDKit,random,0.8257302921168467,0.4458508287089374,0.7352941176470589,0.7112068965517242,0.7219858156028369,0.85,18
