batch_size,metric,learning_type,dataset,split_type,model,seed,traj
1,roc_auc,active,CHEMBL219-1,SIMPD,AtomPair,0,"[0.530981529209622, 0.5483247422680412, 0.5792525773195877, 0.594286941580756, 0.616784793814433, 0.6289196735395189, 0.6301546391752577, 0.6109858247422681, 0.6449742268041238, 0.6415378006872853, 0.6190936426116839, 0.6297787800687286, 0.6484106529209622, 0.6548539518900344, 0.648303264604811, 0.6539411512027491, 0.6798754295532645, 0.6616731099656358, 0.679821735395189, 0.6342353951890034, 0.6259128006872853, 0.6432023195876287, 0.6524377147766323, 0.6436855670103092, 0.6577534364261168, 0.6121670962199313, 0.6342353951890034, 0.6579145189003436, 0.6229059278350515, 0.6398732817869416, 0.6313896048109966, 0.624463058419244, 0.6466387457044673, 0.6450816151202748, 0.6184493127147767, 0.6180197594501718, 0.6348797250859106, 0.6708011168384881, 0.6810567010309279, 0.6810567010309279, 0.6609213917525772, 0.6478737113402062, 0.6960373711340206, 0.6999033505154639, 0.6774591924398625, 0.662854381443299, 0.6654317010309279, 0.6501288659793814, 0.6582903780068728, 0.6864798109965635, 0.66784793814433, 0.6698883161512028, 0.6922787800687284, 0.6531894329896908, 0.6546391752577319, 0.664465206185567, 0.6575923539518901, 0.663928264604811, 0.662156357388316, 0.680090206185567, 0.6919029209621994, 0.6507195017182131, 0.6627469931271478, 0.7079574742268041, 0.6958225945017182, 0.7002792096219931, 0.7006013745704468, 0.7242268041237112, 0.7246563573883161, 0.7265893470790378, 0.7087628865979382, 0.7139712199312714, 0.7103737113402062, 0.7301331615120275, 0.7011383161512028, 0.7050579896907215, 0.6826138316151203, 0.6964669243986255, 0.7079574742268041, 0.6915807560137458, 0.7085481099656358]"
1,roc_auc,active,CHEMBL219-1,random,AtomPair,0,"[0.4756407296236435, 0.5128723158623875, 0.4901870237820365, 0.485453705841607, 0.4805472177326252, 0.5043292542138075, 0.5125836989148003, 0.5112560609558994, 0.4651350727314708, 0.5133341029785269, 0.5115446779034866, 0.5148926344954976, 0.481182175017317, 0.4924382359732164, 0.5088894019856847, 0.5495843915954746, 0.5259178018933272, 0.510678827060725, 0.536827522512122, 0.5537404756407296, 0.5246478873239436, 0.5417917340106211, 0.5579542830755022, 0.5408104363888248, 0.5688640036942969, 0.5471022858462248, 0.5721542368967906, 0.5796582775340569, 0.5732509812976219, 0.5798314477026092, 0.5947240821981068, 0.6189101824059108, 0.6181597783421842, 0.6086931424613253, 0.6362849226506581, 0.6418840914338491, 0.6185061186792888, 0.6313207111521589, 0.62612560609559, 0.6522165781574694, 0.682867697991226, 0.6649157238513045, 0.6542946201800969, 0.6638189794504733, 0.6870815054259987, 0.729046409605172, 0.7295659201108289, 0.7728584622489032, 0.7834218425305933, 0.7806511198337566, 0.7745901639344261, 0.7606211036712076, 0.7611983375663819, 0.7731470791964904, 0.7643154006003232, 0.750519510505657, 0.777360886631263, 0.7808242900023089, 0.760678827060725, 0.7614869545139691, 0.7521934888016624, 0.7400138536134842, 0.763334102978527, 0.7664511660124682, 0.7696836758254445, 0.7718194412375894, 0.7724543985222811, 0.7689332717617179, 0.7711267605633804, 0.7734356961440776, 0.7686446548141307, 0.7625836989148003, 0.7813438005079658, 0.7735511429231124, 0.7766682059570538, 0.7743592703763564, 0.7809974601708612, 0.7789194181482336, 0.7803625028861695, 0.7694527822673748, 0.7654121450011544]"
1,roc_auc,active,CHEMBL219-1,scaffold,AtomPair,0,"[0.4209499024072869, 0.4608544784211668, 0.4369984818911299, 0.4581435697245716, 0.4686618954673606, 0.4703426588592496, 0.4727282585122532, 0.4399804814573845, 0.3790392539579267, 0.4094014313597919, 0.4965300368683583, 0.5634894816742572, 0.6308284536976795, 0.6084905660377358, 0.6164064194317935, 0.6031771849924094, 0.6206354369984818, 0.6234005638690089, 0.6474734330947733, 0.6601062676209066, 0.6535458685751463, 0.6093580568206464, 0.613370201691607, 0.6726306657991759, 0.6315875081327261, 0.6733897202342225, 0.6311537627412708, 0.6596725222294513, 0.6706245933636955, 0.6824441552808501, 0.6577748861418348, 0.6438408154413361, 0.6346779440468446, 0.5825200607243548, 0.5485794838429842, 0.6030687486445456, 0.6053459119496856, 0.617273910214704, 0.6305573628280198, 0.6425937974409022, 0.5998698763825635, 0.6282801995228801, 0.6158100195185426, 0.5994903491650402, 0.6096833658642378, 0.6091411841249188, 0.6672630665799175, 0.6769681197137281, 0.6910648449360225, 0.6295814356972457, 0.6447083062242465, 0.6906853177184993, 0.6787031012795489, 0.6233463456950769, 0.6102797657774885, 0.595640858815875, 0.5833333333333333, 0.5634352635003254, 0.5644654088050314, 0.612773801778356, 0.6221535458685751, 0.5191932335718933, 0.4960962914769031, 0.5338321405335068, 0.5826284970722186, 0.5628930817610063, 0.5701583170678812, 0.539850357839948, 0.5766102797657775, 0.5961830405551941, 0.5303079592279333, 0.5058013446107135, 0.5281392322706571, 0.5254825417479939, 0.5379527217523314, 0.540446757753199, 0.5562784645413142, 0.5455432661027977, 0.5661461721969203, 0.5855562784645413, 0.5118195619171546]"
1,roc_auc,active,CHEMBL219-1,SIMPD,AtomPair,1,"[0.5367268041237113, 0.5743127147766323, 0.5193835910652921, 0.5998711340206186, 0.5882731958762887, 0.6088917525773196, 0.5453178694158075, 0.5819909793814433, 0.5802190721649485, 0.5551439003436426, 0.604918384879725, 0.5871456185567011, 0.560620704467354, 0.5570231958762887, 0.5794136597938144, 0.5256121134020618, 0.5556808419243986, 0.5385524054982818, 0.5731851374570447, 0.5808097079037802, 0.5842461340206185, 0.6294029209621993, 0.6146370274914089, 0.6571091065292096, 0.6590957903780069, 0.6626932989690721, 0.706615120274914, 0.7132195017182131, 0.7058634020618557, 0.6761168384879725, 0.6974871134020619, 0.6883054123711341, 0.6799828178694158, 0.7141859965635738, 0.7117160652920962, 0.6771907216494846, 0.7251932989690721, 0.6906142611683849, 0.6756872852233677, 0.6874463058419243, 0.7003329037800687, 0.6848152920962199, 0.7072594501718213, 0.6893256013745704, 0.7168707044673539, 0.729649914089347, 0.7262671821305843, 0.7236898625429553, 0.702588058419244, 0.7038230240549828, 0.7026417525773194, 0.7098904639175259, 0.7196628006872852, 0.729381443298969, 0.7197164948453608, 0.7284149484536082, 0.7193406357388317, 0.7018363402061857, 0.7073131443298969, 0.6930841924398625, 0.703661941580756, 0.7033397766323023, 0.6994737972508591, 0.7033934707903781, 0.6914733676975944, 0.7197164948453608, 0.6994737972508591, 0.7205756013745704, 0.6948024054982818, 0.7028028350515464, 0.7033397766323024, 0.7216494845360825, 0.6728951890034364, 0.672411941580756, 0.6840635738831615, 0.678747852233677, 0.6691365979381443, 0.6833655498281788, 0.6806808419243986, 0.6791237113402061, 0.7065077319587629]"
1,roc_auc,active,CHEMBL219-1,random,AtomPair,1,"[0.6397323436797121, 0.5030926675663517, 0.538349077822762, 0.5870445344129555, 0.5468398560503823, 0.5720310391363023, 0.563259109311741, 0.5671390013495278, 0.6113922627080522, 0.5516194331983806, 0.5828272604588395, 0.6035762483130905, 0.611054880791723, 0.6287112010796222, 0.6021142600089969, 0.603182636077373, 0.5881691408007197, 0.6073436797121007, 0.6145411605937922, 0.5983468286099866, 0.6196018893387314, 0.606612685560054, 0.6213450292397661, 0.6109986504723346, 0.6255623031938821, 0.61870220422852, 0.6199955015744489, 0.6521592442645074, 0.6466486729644625, 0.6292735042735043, 0.652327935222672, 0.6303418803418803, 0.6575011246063879, 0.6529464687359423, 0.6555892937471886, 0.670940170940171, 0.6740890688259109, 0.6851664417453891, 0.6838169140800721, 0.6742015294646875, 0.6609311740890689, 0.65176563202879, 0.6796558704453441, 0.7167678812415654, 0.7159806567701303, 0.7175551057130004, 0.7119883040935674, 0.7052406657669815, 0.7228407557354928, 0.719017094017094, 0.7290823211875843, 0.6960751237067027, 0.6821300044984258, 0.6710526315789475, 0.7016419253261359, 0.6901709401709402, 0.6901709401709402, 0.7043409806567702, 0.669646873594242, 0.6683535762483132, 0.6907332433648223, 0.6832546108861899, 0.7001237067026542, 0.7114822312190733, 0.7120445344129553, 0.7100764732343681, 0.7226720647773279, 0.7261583445793972, 0.7378542510121457, 0.7338056680161943, 0.7123819163292848, 0.7241902834008097, 0.7174988753936123, 0.7315564552406659, 0.7266081871345029, 0.7122132253711202, 0.7178362573099416, 0.7101327035537561, 0.7175551057130005, 0.7014732343679713, 0.705859199280252]"
1,roc_auc,active,CHEMBL219-1,scaffold,AtomPair,1,"[0.5088575970928912, 0.5005110152168977, 0.4937542584601408, 0.533215989098342, 0.5443447649330003, 0.4952305246422894, 0.4953440835793777, 0.5111287758346582, 0.539404951169657, 0.5586531910061322, 0.5385532591414944, 0.5595048830342948, 0.5777310924369748, 0.5961844197138315, 0.6306495571201453, 0.6286054962525551, 0.6164546899841018, 0.6642062230297525, 0.6225300931183284, 0.617533499886441, 0.6156597774244833, 0.6196911196911198, 0.637690211219623, 0.6240631387690211, 0.6650011355893708, 0.6589257324551443, 0.6368385191914605, 0.6559164206223029, 0.6736883942766296, 0.6693731546672723, 0.6622189416307063, 0.6312173518055871, 0.6996933908698614, 0.7201907790143084, 0.7442084942084942, 0.7487508516920283, 0.7381898705428117, 0.7563025210084033, 0.7620940267999092, 0.7865659777424483, 0.7434135816488758, 0.7643652055416762, 0.7590279354985238, 0.7714058596411538, 0.7634567340449694, 0.7473313649784238, 0.7845219168748581, 0.7816829434476493, 0.763683851919146, 0.774415171473995, 0.7614694526459233, 0.7317737905973201, 0.7700999318646378, 0.7543720190779014, 0.7699863729275493, 0.7784465137406315, 0.7212128094481036, 0.7184873949579832, 0.733079718373836, 0.7478423801953212, 0.7722007722007722, 0.7765727912786736, 0.7890074948898478, 0.7673745173745173, 0.7752668635021576, 0.7733363615716558, 0.7795253236429707, 0.7622643652055419, 0.7555643879173292, 0.7740744946627299, 0.7620372473313649, 0.7657846922552806, 0.7696456961162844, 0.7527821939586646, 0.7704406086759028, 0.7516466045877811, 0.7520440608675902, 0.7605609811492164, 0.7664092664092664, 0.7832159890983421, 0.7754939813763343]"
1,roc_auc,active,CHEMBL219-1,SIMPD,AtomPair,2,"[0.4644544673539519, 0.4828715635738832, 0.5179875429553265, 0.5534256872852235, 0.5535867697594502, 0.6185030068728522, 0.5805412371134021, 0.5870382302405498, 0.5645403780068728, 0.5086447594501718, 0.4938251718213058, 0.5259879725085911, 0.5349012027491409, 0.5295317869415808, 0.5614798109965636, 0.5364046391752577, 0.5425257731958762, 0.5201353092783505, 0.4946842783505155, 0.5064969931271478, 0.5070876288659794, 0.4471112542955327, 0.5159471649484536, 0.478039089347079, 0.477233676975945, 0.4845360824742268, 0.5055841924398625, 0.5066580756013745, 0.5086984536082475, 0.4760524054982818, 0.4582259450171821, 0.5141752577319588, 0.5041344501718212, 0.4892611683848797, 0.463219501718213, 0.5043492268041238, 0.485985824742268, 0.4696628006872853, 0.4719179553264604, 0.4964024914089347, 0.492590206185567, 0.4775558419243987, 0.5144437285223368, 0.4871670962199313, 0.4857710481099656, 0.5657216494845362, 0.5440829037800687, 0.5289948453608246, 0.5344716494845362, 0.5493449312714777, 0.5218535223367697, 0.517235824742268, 0.533397766323024, 0.5128329037800687, 0.5114368556701031, 0.5112220790378008, 0.5146048109965635, 0.519115120274914, 0.526793384879725, 0.5347938144329896, 0.5361898625429553, 0.5359213917525774, 0.5740442439862543, 0.5293707044673539, 0.5250751718213058, 0.5435996563573885, 0.5384987113402061, 0.5606207044673539, 0.5608354810996564, 0.5593857388316151, 0.5585266323024054, 0.5678694158075602, 0.5996026632302406, 0.5758698453608248, 0.5878436426116839, 0.5784471649484536, 0.6267719072164948, 0.6274162371134021, 0.6009987113402062, 0.6245167525773196, 0.6055090206185567]"
1,roc_auc,active,CHEMBL219-1,random,AtomPair,2,"[0.6019972292773031, 0.5968021242207342, 0.599976910644193, 0.5849111059801432, 0.5527014546294158, 0.5535673054721774, 0.5135072731470792, 0.5426575848533826, 0.4902447471715539, 0.5215308242900023, 0.501731701685523, 0.4663472639113368, 0.5498730085430616, 0.5505656892172707, 0.5540290925883167, 0.5904525513738167, 0.5574924959593627, 0.5955322096513509, 0.578099746017086, 0.5884899561302239, 0.6245093511891018, 0.605172015700762, 0.5867005310551836, 0.5887208496882937, 0.6138882475178943, 0.6358808589240361, 0.5973793581159086, 0.5935118910182406, 0.5931078272916185, 0.6284345416762872, 0.6609905333641192, 0.6716116370353267, 0.6912953128607713, 0.6803278688524591, 0.6113484183791273, 0.5865850842761486, 0.6212191179866082, 0.6160817363195566, 0.594897252366659, 0.6287231586238743, 0.5998037404756408, 0.6436735165088895, 0.64748326021704, 0.6369198799353497, 0.6323597321634726, 0.6614523204802587, 0.6375548372200417, 0.6990302470561071, 0.6908912491341491, 0.7375894712537521, 0.7266797506349574, 0.7283537289309628, 0.7484991918725468, 0.7622950819672131, 0.7362041099053337, 0.7334333872084969, 0.7200415608404525, 0.7385707688755483, 0.7404179173401063, 0.7568690833525744, 0.7481528515354421, 0.7625259755252829, 0.773493419533595, 0.739725236665897, 0.7183675825444471, 0.7488455322096513, 0.7096513507273147, 0.7146732856153313, 0.7213691987993536, 0.7265643038559225, 0.7431309166474256, 0.7248326021703995, 0.7347033017778803, 0.7327407065342877, 0.7195220503347957, 0.7125952435927038, 0.7049180327868851, 0.7265065804664049, 0.723447240821981, 0.7377626414223044, 0.742784576310321]"
1,roc_auc,active,CHEMBL219-1,scaffold,AtomPair,2,"[0.3328002842928216, 0.3448235015399195, 0.3342809760720208, 0.3153281212982705, 0.3493248045486851, 0.3852167732764747, 0.3705283108268183, 0.3941601516228382, 0.3880004738213693, 0.3897180762852404, 0.3743188817815683, 0.3528192371475953, 0.3399076048329779, 0.3638948116560057, 0.3617033878227908, 0.3560767590618336, 0.3880597014925372, 0.3913172234067756, 0.392679459843639, 0.4024520255863539, 0.3799455105425254, 0.3764510779436152, 0.3717720919213456, 0.3752072968490879, 0.4269130537787254, 0.3893627102582326, 0.3868159203980099, 0.388711205875385, 0.4288083392561005, 0.423714759535655, 0.4391139540393272, 0.4261430940535418, 0.4044657664060649, 0.4467543236199952, 0.4308220800758113, 0.4284529732290926, 0.4299928926794598, 0.4133499170812604, 0.4184434968017057, 0.4222340677564559, 0.3744373371239043, 0.3999052357261312, 0.4272091921345652, 0.4253731343283582, 0.4771381189291637, 0.4480573323856905, 0.474472873726605, 0.4685501066098081, 0.4741175076995973, 0.4566453447050462, 0.4295190713101161, 0.4657071783937456, 0.4989931295901445, 0.4851930822080076, 0.4396470030798389, 0.480395640843402, 0.4584221748400853, 0.4671878701729448, 0.4481757877280264, 0.4324804548685146, 0.4283937455579247, 0.4044657664060649, 0.4820540156361051, 0.4286898839137645, 0.4457474532101398, 0.4464581852641554, 0.4384624496564795, 0.472518360578062, 0.4382847666429756, 0.4481165600568585, 0.4227671167969674, 0.4797441364605543, 0.4891021085050935, 0.4851338545368396, 0.4545131485429993, 0.4936626391850272, 0.4812840559109216, 0.4260838663823738, 0.4408315565031984, 0.4481165600568585, 0.4519663586827765]"
1,roc_auc,active,CHEMBL219-1,SIMPD,AtomPair,3,"[0.5407538659793815, 0.5701245704467354, 0.5440292096219931, 0.5218535223367697, 0.5382302405498283, 0.5676009450171823, 0.5983676975945018, 0.6034686426116839, 0.6090528350515465, 0.612865120274914, 0.6610287800687283, 0.6530820446735396, 0.6583440721649485, 0.6474441580756014, 0.6393900343642612, 0.6592031786941581, 0.6194158075601375, 0.6634987113402062, 0.651524914089347, 0.6799828178694158, 0.6796606529209621, 0.6218320446735394, 0.6615657216494846, 0.685083762886598, 0.6406786941580757, 0.6382087628865979, 0.6572701890034365, 0.651256443298969, 0.6432023195876287, 0.6422895189003437, 0.6742375429553265, 0.6524914089347079, 0.6745060137457045, 0.6598475085910653, 0.6304768041237113, 0.6320876288659795, 0.6533505154639176, 0.6295640034364262, 0.6332152061855669, 0.6390678694158075, 0.6552835051546393, 0.6466387457044673, 0.6614046391752578, 0.6407323883161512, 0.6688681271477662, 0.600622852233677, 0.6212951030927836, 0.6208655498281787, 0.6391752577319587, 0.6319265463917526, 0.6242482817869416, 0.6360073024054982, 0.6404639175257733, 0.6331078178694158, 0.6412156357388317, 0.6377792096219932, 0.684009879725086, 0.6737006013745704, 0.6857280927835051, 0.6643041237113402, 0.6520081615120273, 0.669727233676976, 0.6740764604810997, 0.6675794673539519, 0.6692439862542955, 0.66650558419244, 0.6423969072164949, 0.6474441580756014, 0.6573775773195877, 0.6678479381443299, 0.6907216494845361, 0.7032860824742267, 0.6776202749140894, 0.7028028350515465, 0.6895940721649484, 0.6815399484536082, 0.6877147766323024, 0.6845468213058419, 0.6732173539518901, 0.6781572164948453, 0.665807560137457]"
