batch_size,metric,learning_type,dataset,split_type,model,seed,traj
1,rmse,active,CHEMBL219-1,SIMPD,AtomPair,0,"[1.0799951804008765, 1.0687216913561406, 1.1339459799480816, 1.1578425425402477, 1.2123598568013634, 1.1377322472466318, 1.0196004364709803, 1.076501748516734, 1.0628824229058829, 1.039748289537355, 1.0638252171004694, 1.0994450095459731, 1.0692629009011416, 1.0800094690143338, 1.083312662228721, 1.0867649623152484, 1.1141153358867435, 1.0630584358252728, 1.0254719529919174, 1.0303779610118122, 1.0219663578515246, 1.018631194782712, 1.0274234392514685, 1.0338443577300998, 1.0303763383351914, 1.0154106565831338, 1.0362167810134548, 1.0045318000212269, 0.9951633308286169, 0.9849124524361196, 0.980791830389908, 0.9835351673633308, 0.9816893151352812, 0.9783028992833018, 0.9711680287692892, 0.9764656303495208, 0.98726032558101, 0.978423212943634, 0.9858733537515384, 0.977303327073436, 0.9688785943398422, 0.9712492174695604, 0.97799570437299, 0.976345335257334, 0.9779043711789944, 0.980473339822979, 1.000710917479516, 0.988027439571974, 0.9808203708876496, 0.984889625677334, 0.974192582140947, 0.988239538859786, 0.9982806832184252, 1.0122557975832651, 0.9913087591193448, 0.995393586201346, 0.9769388656420992, 0.9884793460486496, 0.9768841954638988, 0.99424092515541, 0.9883698031990088, 0.9797304109736148, 0.9921550772202326, 0.9821858830486744, 0.9724817314106526, 0.9852501547107276, 0.9669783801720736, 0.968974522114886, 0.974712629817316, 0.974522959291636, 0.988405005433926, 0.9744313578655548, 0.9768578331393996, 0.9871513154453534, 0.9923883830165048, 0.9915344738845716, 0.9834607107482696, 0.9587499298187516, 0.9884578577402768, 0.981633218413185, 0.9844234218158816]"
1,rmse,active,CHEMBL219-1,random,AtomPair,0,"[1.089900841427822, 1.068103834801233, 1.2140197849025005, 1.056882714729643, 1.0329695716267424, 1.0314343526286018, 1.0294043686002423, 1.0249561753300234, 1.023148980004854, 1.0394462826216455, 1.0865875480299223, 1.0702857943587865, 1.0550416602043913, 1.056068263686002, 1.086086258179917, 1.1037567781377264, 1.12020134286173, 1.0597246100864122, 1.0586515496249538, 1.0570249323778478, 1.0849681753170357, 1.1182197476994753, 1.1295242970456991, 1.112085729772078, 1.1028698876654357, 1.0923787796539908, 1.093585723343405, 1.097031044119381, 1.0964559096059656, 1.0828201230398815, 1.080555973355571, 1.048919907170243, 1.0642771901684982, 1.0559113314556163, 1.0464600199072345, 1.0635965745131293, 1.0634868056797515, 1.0712285122904646, 1.0733731004149023, 1.069322384682664, 1.0764015957757596, 1.0708664841088105, 1.05876092647493, 1.0735056899825313, 1.0734019296808104, 1.0671810787390548, 1.0553678187974884, 1.0514595300173226, 1.0433799977673202, 1.040059048841805, 1.04206651063676, 1.0248043957174775, 1.030467590352476, 1.034144965735191, 1.0302387854656412, 1.0410466382469044, 1.0189605085474482, 1.0220621633244626, 1.0179303670821396, 1.021738909517885, 1.0219885814283578, 1.0357012259729466, 1.0249526745045805, 1.0088818572643172, 1.0073922869946803, 1.0174354416509488, 1.022802579322828, 1.0194055954227803, 1.0193269054153469, 1.0248134654986525, 1.0194042620481163, 1.0141282218294096, 1.005322605427957, 1.0095239064886086, 1.0110155106357737, 0.9951289024738756, 0.9923640098949152, 0.9983324676212508, 1.005588098906909, 0.9881615212204556, 0.9953749478920956]"
1,rmse,active,CHEMBL219-1,scaffold,AtomPair,0,"[1.3620560272233164, 1.046715556375537, 1.0439199696361705, 1.1947576404568685, 1.1054420908242122, 1.1127335092655788, 1.057669314879327, 1.067509940204414, 1.0806974690381632, 1.076547031959461, 1.1067657853290946, 1.138528377204311, 1.1700596838105126, 1.142183889466802, 1.021754912385772, 1.028880110363978, 1.0205360349858617, 0.9814882709489516, 1.0254736389575747, 0.957490598906756, 1.0015795056638306, 0.9742580325241486, 0.9743940162807496, 0.9788155754672082, 0.9891352414643488, 0.9723923515416948, 0.9950489827555736, 0.9667240549637705, 0.9856635986163368, 0.96191118456686, 0.9852067333353584, 0.9490391957814668, 0.9857717600709448, 0.985258799987784, 0.9743624448785154, 0.9786230310976844, 0.990147754661988, 1.0105501972390565, 1.0315666117647326, 1.0347188912385863, 1.0250905530075307, 1.0126121229033245, 1.0097961389448764, 0.985639479907502, 0.9760560894441124, 0.980938933678452, 0.9690915057293016, 1.001332184481632, 1.025701144447157, 0.98040618768434, 0.9904086887368204, 0.9833440862003924, 0.9854463960206316, 0.9678494919497332, 1.0166907735214925, 1.015697146684179, 1.0008832080546677, 1.012840968673678, 1.003933520237767, 0.9878666305432796, 1.009387904659323, 1.0050045983190758, 1.0128333428883158, 1.0228038943362656, 1.0099681905163758, 0.9898079682129376, 0.9956807652142412, 1.0459322453511437, 1.0533956669948483, 1.0445023806142368, 1.0504673329602303, 1.0609290174670625, 1.053609983143815, 1.0212692019237275, 1.012303985068975, 1.0093816104389002, 1.0267831989104454, 1.0424054409222203, 1.0338667971748192, 1.0012389803912565, 0.99202570669621]"
1,rmse,active,CHEMBL219-1,SIMPD,AtomPair,1,"[1.3815913942716198, 1.2585704473048092, 1.252820606769428, 1.2840149809869692, 1.2887610167885215, 1.2411222917621003, 1.236041993811829, 1.186947596239032, 1.1827334568920482, 1.193946743068958, 1.1802941709371388, 1.181324912069346, 1.1779409161401513, 1.1904649216541905, 1.1928299800237767, 1.1903532350294503, 1.1824290473515633, 1.185464987278062, 1.1892619536519886, 1.187323605180866, 1.20129721154522, 1.1926932443547813, 1.2038377767995745, 1.1862501161353316, 1.1924078202280182, 1.1863935350901187, 1.2057402321434445, 1.1999176783939307, 1.1957073889760044, 1.1990151553446329, 1.2111066335051626, 1.2115275456785228, 1.1883486418385751, 1.154147064582299, 1.1320552413332363, 1.111163580855533, 1.1243431387148366, 1.0756568460074496, 1.0656162574953247, 1.0900412627071254, 1.081536915857565, 1.100653419211878, 1.1096408180477684, 1.1192442634400783, 1.098269307507713, 1.1023194709151014, 1.0995841186275035, 1.0842468145539867, 1.0720291867546727, 1.0754137378056592, 1.076383508975208, 1.07690596745775, 1.084160055818385, 1.086093517428879, 1.006475836177049, 0.9899818287964428, 0.9871571767223308, 0.9945018034145632, 1.043656413669147, 1.0417472247426758, 1.055703828506516, 1.049005791559507, 1.044538621131966, 1.0211421403902734, 1.0294656561295563, 1.0397140954660946, 1.041506538053549, 1.0433796426291104, 1.0434670610579684, 1.042555883344568, 1.0419448550841204, 1.040912677174502, 1.0339422663801174, 1.0425414624028226, 1.0453959769889414, 1.0572189525236144, 1.0651074841769443, 1.0872913996111588, 1.0893336157124884, 1.066378445713277, 1.0563827984397405]"
1,rmse,active,CHEMBL219-1,random,AtomPair,1,"[1.0694083106663623, 1.0652886595110744, 1.093149464653641, 1.12648233484835, 1.1245642735693682, 1.0808991525481335, 1.110044457868962, 1.1078622708117127, 1.1055297140758664, 1.0951916954309573, 1.116859985588761, 1.0744880068865377, 1.0640876500040728, 1.0612541709396417, 1.0396282694812904, 1.0324880862954149, 1.049316156958371, 1.0306395245601108, 1.0190856164615196, 1.0467222931683189, 1.0686309015178048, 1.0838998960527728, 1.0962426167917692, 1.093739867837599, 1.095696118593343, 1.0646764570452978, 1.05155680295672, 1.0531433582892726, 1.0473678357272869, 1.0494132290897609, 1.0405920297520144, 1.0398857954433094, 1.0440233457278951, 1.0270581715114255, 1.0470914279800123, 1.047370749689764, 0.9774482178882158, 0.9903451887345844, 0.9830965254713202, 0.9769903936980332, 0.9647506157664584, 0.951274528106284, 0.965151699558479, 0.970540791186806, 0.9588203515946684, 0.9683450957463235, 0.9617714620061942, 0.9426799446149648, 0.9383926875855272, 0.9325013473437598, 0.9412251246566754, 0.945341619338684, 0.9450902979311144, 0.9348220236253112, 0.9421178754780828, 0.9440883715332208, 0.9393145702400688, 0.946943238063396, 0.9590432644073892, 0.9481722670649504, 0.9453072125579014, 0.9445413334913276, 0.9568596325069022, 0.9654827847602429, 0.9595818961072512, 0.9417927893009556, 0.9349379715647316, 0.9248256823004464, 0.9246998372809182, 0.9127746022189476, 0.9228737770647628, 0.92608024674954, 0.9126737664345476, 0.8976301874489788, 0.9011153716971028, 0.8826485318794877, 0.8905263775247515, 0.888077818207227, 0.880509071194589, 0.877768683545654, 0.8810327071907689]"
1,rmse,active,CHEMBL219-1,scaffold,AtomPair,1,"[1.120539894113782, 1.1409630348260096, 1.0178054990957937, 1.0221344493201696, 1.007668174626667, 1.010075271601339, 1.0060098536276154, 1.0047296706260185, 1.0191492626370675, 1.0962312367398324, 1.092414671807984, 1.0710482056900683, 1.0675961836514551, 1.0339343094556015, 1.0427078896109854, 1.0782642017411497, 1.054325204202963, 1.092712164622975, 1.0646450735538528, 1.0686597500603114, 1.0691477470033235, 1.0730851193005386, 1.0436449256967837, 1.0611759511628724, 1.0646887925708195, 1.014563383490244, 1.0185309117735917, 0.9886519385223702, 0.9826459608912864, 1.004672448645506, 0.9268486077617232, 0.9224641467399832, 0.920213954480546, 0.932269380086374, 0.9332100791149106, 0.9444381839570348, 0.9702939675539066, 0.9597454556211724, 0.957287664655486, 0.9918982675198136, 0.9574532671938114, 0.9736028282365754, 0.979438818545912, 0.978170730697756, 0.969207748681172, 0.9726204525215436, 0.95268380645297, 0.9732111633379448, 0.977949508799743, 0.9868430244059352, 1.0092693765571, 0.9691010277678614, 0.9904266420408164, 0.9802267100568156, 0.992513881475861, 0.9772384109649422, 0.97930755506599, 1.0040478618115225, 0.9739919790660364, 0.9988713260268054, 1.013070933637083, 1.0230227987876803, 1.0498544873264988, 1.0210209581565002, 1.030075957735478, 0.9908266581378816, 0.980604103247431, 1.002879161070687, 0.9810143186355008, 0.9587342456231388, 0.9773145012758914, 0.9686057963138816, 0.96943154813968, 0.9887209785997848, 0.986590583069307, 0.9813366848678172, 0.9718090905078948, 0.9825359210825912, 0.9563813282503512, 0.953104647000902, 0.954094250484872]"
1,rmse,active,CHEMBL219-1,SIMPD,AtomPair,2,"[1.4626058180043244, 1.3352279279917398, 1.236763192742361, 1.183899046621236, 1.088442802969814, 1.0966455620702105, 1.128281726292688, 1.1264558260451607, 1.1503513964371803, 1.1154167197298273, 1.131430079715477, 1.1351355150206246, 1.1068047478415322, 1.120972827618523, 1.129133485387725, 1.1156381157136743, 1.108298462261306, 1.1197668491364037, 1.103626121267543, 1.1221639451029946, 1.0952450766742914, 1.0725176085369237, 1.063213651582746, 1.0666032300787898, 1.07681788199512, 1.07827324209191, 1.0756985909154146, 1.0716861585777089, 1.0599340228025045, 1.056196324509196, 1.041788365801409, 1.046558304424357, 1.0507600792991258, 1.053034763805252, 1.054059014703011, 1.0586112189324937, 1.0408412541158378, 1.0545086357151974, 1.062875297400327, 1.0752866766323323, 1.0674754316135082, 1.0485019864529852, 1.046638172579482, 1.0362940115343562, 1.0570124048664002, 1.05305852606891, 1.0533362740689365, 1.0663365089458776, 1.06771076913577, 1.075587421021215, 1.0850901170521985, 1.1163938579239692, 1.1226895371789978, 1.0752631213593449, 1.065327350552025, 1.045066326476818, 1.0472074270083012, 1.0200854335093852, 1.0074255680344493, 1.0061858414135725, 1.0112934276910883, 1.0074938524092771, 1.0010383643712184, 1.0159994170472808, 1.0243251693739974, 1.0188144547583071, 1.0050886454332917, 1.006751073584535, 1.0146962670946342, 1.0077159935329816, 1.0067091960416463, 0.9992144099382896, 0.9976826967683812, 0.9902652661839167, 0.9910568611359896, 0.9956950480129046, 0.9935482059479696, 1.0054135809613187, 1.0004000555819397, 1.0005678843334558, 1.0081516716034744]"
1,rmse,active,CHEMBL219-1,random,AtomPair,2,"[1.5303427686754785, 1.1495814704951144, 1.114114488237884, 1.0933472506091162, 1.0846169471149316, 1.0934938043516491, 1.1408498886329377, 1.1490935303770555, 1.1612267501590612, 1.1650368543393437, 1.1309759169245, 1.1247507133361865, 1.141517345102993, 1.1265802043527036, 1.102516809548402, 1.0796056383717827, 1.0699342804862286, 1.0783249292809691, 1.1084924205068991, 1.0823553053865655, 1.0591106676703133, 1.060100708408834, 1.062282894588214, 1.0688951969303286, 1.057018263551707, 1.0529554498052665, 1.060722549147245, 1.0533655997249658, 1.0844382896180107, 1.058038332949065, 1.0577507557036816, 1.060938060631915, 1.0520013935450487, 1.0380089500896998, 1.0789323231451824, 1.0401272799007737, 1.025748123240597, 1.0338367162694193, 1.0306258555330663, 1.0368754007766563, 1.043126041321423, 1.033398627147663, 1.0719836642286382, 1.041094347707745, 1.051531432321746, 1.0418252067151916, 1.0157752259673989, 1.008853265698162, 1.0321704721233391, 1.0130067319439346, 1.0127767520189492, 1.043967401000784, 1.026967169107596, 1.0301848177915895, 1.0226977564696635, 1.0210641125400006, 1.0193379043087831, 1.0163947863197802, 0.9912508217430228, 0.9944405089571332, 0.9892117666478762, 1.006015805714379, 0.9914079395700276, 1.0043115282635713, 1.0016537124879703, 0.9828160648126822, 0.9938903841207384, 0.992625723076926, 1.00094766948459, 0.9991492024240743, 0.9946570531173357, 0.9875736030811024, 0.9934532084388844, 0.9862837467055534, 0.978608379016788, 0.9660188944879764, 0.9764855955629704, 0.9857275720084208, 0.9650597328824202, 0.99338409356981, 1.0042369897103922]"
1,rmse,active,CHEMBL219-1,scaffold,AtomPair,2,"[1.878741253834624, 1.089907648699785, 1.0274051175888057, 1.1285059142730365, 1.0002340347382228, 0.9777594272706246, 1.0691846442124422, 1.1643411740043643, 1.13278960867098, 1.1872781167127051, 1.1842181527119195, 1.2675805333584211, 1.25256100365437, 1.2084347418824888, 1.2382827500902134, 1.2822355877074294, 1.2378373433955938, 1.2613848832859786, 1.2168780761981062, 1.2851502586087244, 1.2870101287288986, 1.2707571245056486, 1.2662019559754525, 1.294090541974948, 1.348046918203798, 1.3900041734383983, 1.402703529993775, 1.3402993714189042, 1.292686574501481, 1.2994906553998389, 1.285821561625862, 1.2601062834728145, 1.275792608781601, 1.2670670625646734, 1.2883307289072294, 1.2572271566917872, 1.280500809511896, 1.228917511449888, 1.1700374227662869, 1.1968207249710403, 1.1320277146042512, 1.1127571218733197, 1.1289984090866592, 1.114956027920783, 1.137453864759339, 1.1491012921346364, 1.1392772139419154, 1.1638638829481252, 1.141666175517714, 1.1707955083767758, 1.1482108854479387, 1.174528986467262, 1.1646725303506422, 1.175581787485395, 1.1408854239903212, 1.1802210683627257, 1.167576367430578, 1.096661886388414, 1.0841355729897264, 1.0958754002157025, 1.11069539781875, 1.1021143600563812, 1.1136859861686967, 1.1268957072718149, 1.1260060047648472, 1.1011234313619689, 1.090874757923216, 1.0970308517562868, 1.0958161025491662, 1.1030290943132703, 1.1080586917933706, 1.118495803815743, 1.1128632871055082, 1.130651402157589, 1.130303158263824, 1.1180311624269954, 1.1223843086680567, 1.0828712971063177, 1.080868750135145, 1.0679192433526317, 1.001794106339638]"
1,rmse,active,CHEMBL219-1,SIMPD,AtomPair,3,"[1.0661780130653806, 1.1858400603607917, 1.1540266376313415, 1.1417403847712568, 1.1469488205647285, 1.1383345573722052, 1.2036750902124425, 1.227549347593492, 1.15842322236925, 1.1072533979185053, 1.0991156606292252, 1.1188400140532315, 1.1178854549846884, 1.0760449581300495, 1.07463483784727, 1.1187281784249803, 1.1837644391993518, 1.1751921293036325, 1.186817412459953, 1.1932977888397118, 1.1832146685472122, 1.1658938510281665, 1.1721821512017054, 1.152991328760496, 1.125673242375886, 1.140317349315646, 1.1344341217682614, 1.1353815932679234, 1.1329298599950468, 1.1258249295838765, 1.087221739470474, 1.0763675216477095, 1.0561285168940815, 1.0674748773542089, 1.0878776405117392, 1.0769717685765403, 1.0651966310245793, 1.115549423127642, 1.1101835816306602, 1.1133045452929533, 1.1424384138002477, 1.1290417291975667, 1.1262747542091645, 1.1264810429631924, 1.090303673532349, 1.063779890601279, 1.0635662809087223, 1.0633354643727193, 1.066263705291894, 1.0687255964065372, 1.0566398276313402, 1.066558462892138, 1.0646439375839216, 1.0687886032782212, 1.0432724991396738, 1.0409962556362558, 1.037346153347707, 1.0186923800037575, 1.0160655331309, 1.0051193109907024, 1.0132099515690465, 1.0055138741400254, 1.0135543228346406, 1.0117356892599367, 1.0186491987703323, 1.0214935107415253, 1.0218778389163712, 1.0101394180695178, 1.0091850620840948, 0.999855276107808, 1.0089533979440268, 0.994900315000234, 0.9968896603547854, 0.9899545022517432, 0.9992928691021176, 0.9896111367969436, 0.975979405334613, 0.982116226620186, 0.9822855397785464, 0.993070936735438, 1.0010585269624075]"
