Drug_ID,Drug,Y,uidx
6602638.0,CCCC(=O)Nc1ccc(N2CCN(CC)CC2)c(Cl)c1.Cl,0,0
644675.0,CC(=O)N(c1ccc2oc(=O)sc2c1)S(=O)(=O)c1cccs1,1,2
645164.0,CCC(c1nnnn1CC1CCCO1)N(CCN1CCOCC1)Cc1cc2cc(C)ccc2[nH]c1=O,1,5
645569.0,CCc1cc2c(=O)[nH]cnc2s1,0,9
645573.0,CCN(CC)C(=O)CSc1nnc(-c2cc3ccccc3cc2O)n1CC,1,10
5721248.0,Cl.N/C(=N\O)C1COc2ccccc2O1,0,12
645929.0,CC(C)(C)NC(=O)CSc1nnc(Cc2ccc3c(c2)OCO3)n1C1CCCCC1,1,13
645965.0,Cc1ccc2c(c1)nnn2C1CCN(CC(=O)N2c3ccccc3CC2C)CC1,1,14
646164.0,CCOC(=O)CSC1=C(C#N)C(C)C2=C(CCCC2=O)N1,0,15
646353.0,CCOC(=O)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,0,17
646472.0,CCOC(=O)c1cc2sc(C)cc2n1CC(=O)N1CCN(C(=O)c2ccco2)CC1,1,19
646515.0,CCOC(=O)C(NC(C)=O)C(OC(C)=O)c1cccc(N(CCO)CCO)c1,0,20
646597.0,CCC(=O)Nc1cc2c(cc1C(=O)c1ccccc1)OCCO2,0,21
6602690.0,CN(C)CCNC(=O)C(C(=O)c1ccc(F)cc1)n1ccccc1=O.Cl,0,22
646768.0,Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccc(F)cc3)CC2)n1,0,23
646955.0,COC(=O)CN(c1ccccn1)S(=O)(=O)c1ccccc1,0,25
647302.0,Cn1c(-c2ccc3c(c2)OCO3)cnc1NCc1ccccc1.O=C(O)C(=O)O,1,27
647430.0,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2C(C)C)n1,0,28
647498.0,CC1(CCC#N)N=C(SCCC#N)N(c2ccccc2)C1=O,0,29
647727.0,O=C(Nc1ccc(S(=O)(=O)N2CCCC2)cc1)c1ccc(CN2CCOCC2)cc1,0,31
647933.0,O=C(Nc1cccc(NC(=O)N2CCN(c3ccccc3)CC2)c1)N1CCN(c2ccccc2)CC1,1,32
647937.0,CC(=O)NC1(c2cccc(F)c2)CCN(CC(=O)NC2CCCCC2)CC1,0,33
647987.0,Cc1ccc(Cl)cc1N1CCN(S(=O)(=O)c2ccc3c(c2)OCCO3)CC1,0,34
648007.0,CCOC(=O)c1c(NC(=O)CSc2nnnn2C)sc(C)c1C,1,35
648068.0,CCOc1cccc(C2C(C(=O)c3ccc(C)o3)=C(O)C(=O)N2Cc2ccncc2)c1,1,36
648175.0,CCn1c(Cc2ccccc2)nnc1SCC(=O)NC(C)(C)C,1,37
648236.0,CCC(C)(C)n1nnnc1C(C(C)C)N(CCCO)Cc1cc2cc(C)ccc2[nH]c1=O,1,39
648407.0,CCc1nnc(NC(=O)CSc2nnc(COc3ccccc3)n2Cc2ccccc2)s1,0,41
648428.0,CC(C)Cn1c(-c2ccc(Cl)cc2)cnc1SCC(=O)N1CCOCC1,0,42
648537.0,CCc1cc2c(NCCO)ncnc2s1,0,43
5769011.0,Cc1ccc(C)c(/C(O)=C2\C(=O)C(=O)N(Cc3cccnc3)C2c2cccnc2)c1,0,44
648642.0,Cc1cc(C)n(-c2nc3c(c(=O)[nH]c(=O)n3C)n2CC(C)C)n1,0,45
648708.0,Cc1nn(C)c(C)c1CNC(=O)c1cnn2c1NC(c1ccccc1)CC2C(F)(F)F,1,46
648768.0,CN(CCC#N)CC(=O)Nc1ccc(NC(=O)CN(C)CCC#N)cc1,0,47
648836.0,Cc1ccc(C(c2nnnn2CC2CCCO2)N2CCN(C(=O)c3ccco3)CC2)cc1,1,48
648878.0,CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1,1,49
649015.0,O=C1CC(c2cccs2)c2cc3c(cc2N1)OCO3,1,51
2859713.0,Br.COC(=O)Cn1c(=N)n(CCN2CCCCC2)c2ccccc21,0,53
649283.0,COc1ccc(-c2noc(C3CCCN(C(=O)c4ccccc4OC)C3)n2)cc1OC,1,54
649453.0,CCn1c(COc2ccccc2)nnc1SCC(=O)Nc1cc(OC)ccc1OC,1,56
649650.0,COCc1nnc(NC(=O)CSc2ccc(C)cc2)s1,0,57
649754.0,Nc1ncc(-c2ccccc2)n1CC1CCCO1,1,58
649786.0,CCCCn1c(SCC(=O)N2CCCC2)nc2c1c(=O)n(C)c(=O)n2C,1,59
650002.0,Cn1c(=O)[nH]c(=O)c2c1nc(NCCCO)n2CCCc1ccccc1,0,62
135439099.0,O=C(Cc1cccs1)N1CCC(c2nc3c(nnn3Cc3ccccc3Cl)c(=O)[nH]2)CC1,1,64
650100.0,COc1ccccc1OCCn1cc(C(=O)c2ccco2)c2ccccc21,1,65
6602529.0,COc1cccc(C(=O)NC2CC3CCCC(C2)N3CC(=O)Nc2ccccc2)c1.Cl,0,66
650486.0,Cn1c(CNC(=O)Nc2ccccc2)nnc1SCc1ccccc1,1,68
650558.0,O=C(CSc1nnc(CNc2ccccc2)o1)N1CCCc2ccccc21,1,69
650691.0,CCCCNC(=O)NS(=O)(=O)c1ccc(C(=O)OC(C)C)o1,0,70
590998.0,CCOc1ccc(C(=O)N2CCCC2C(=O)O)cc1,0,71
650985.0,COc1ccc(CCNc2c(C)c(C)nc3ncnn23)cc1,0,72
5768893.0,COCCN1C(=O)C(=O)/C(=C(/O)c2cccc(OC)c2)C1c1ccco1,0,74
651086.0,COc1ccc(-c2cc(C(F)F)nc(-n3nc(C)cc3C)n2)cc1,1,75
651189.0,COc1ccc(Cl)cc1NC(=O)CN1C(=O)CSC1=O,1,76
651205.0,CCc1c(C)nc2c(C#N)c(C)[nH]n2c1=O,0,77
651207.0,CCOC(=O)N1CCN(C(=O)c2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)CC1,0,78
135450659.0,Cc1ccc(Cn2nnc3c(=O)[nH]c(C4CCN(C(=O)Cc5cccs5)CC4)nc32)cc1,1,79
651587.0,O=C(OCCCN1CCCCC1)c1ccc(O)cc1,0,81
651589.0,Cc1cc(NC(=O)CCC(=O)N2CCC3(CC2)OCCO3)no1,0,82
651603.0,O=C(Nc1cnc2ccccc2c1)c1cccc(-n2cnnn2)c1,0,83
651769.0,O=C(CNC(=O)c1ccco1)OCc1c(F)cccc1Cl,0,85
651959.0,Clc1ccc(C(c2nnnn2C2CCCC2)N2CCN(Cc3ccncc3)CC2)cc1,1,86
652002.0,O=C(CSc1nnc(-c2cccnc2)o1)Oc1ccccc1,0,87
652521.0,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc(CN3CCCC3)cc2)cc1,0,88
652549.0,CC(C)C(C(=O)NCC1CCCO1)N(Cc1ccco1)C(=O)CNS(=O)(=O)c1ccc(F)cc1,1,89
611711.0,CCCCn1c(Cl)nc2c1c(=O)n(C)c(=O)n2C,0,90
26880.0,CC(=O)Nc1ccc(-c2ccccc2)s1,0,91
652799.0,CCOc1ccc(-c2nnn(CC(=O)Nc3cc(OC)ccc3OC)n2)cc1OCC,1,93
652954.0,N#CC1=C(N)OC2=C(C(=O)CCC2)C12CCC1(CC2)OCCO1,0,94
6603138.0,Cl.O=C(CN1CCN(C2CCCCC2)CC1)NCCC1=CCCCC1,0,95
2054625.0,N#C/C(=C/N1CCOCC1)c1ccccc1,0,96
653412.0,Cn1c(SCC(=O)NCc2ccc3c(c2)OCO3)nnc1-c1cc2ccccc2cc1O,1,99
135417689.0,Cc1cccc(NC(=O)N(Cc2nc3ccccc3c(=O)[nH]2)C2CCCC2)c1,1,100
6603658.0,CC(C)(C)c1cc(C(=O)O)c(CN2CCCCC2)o1.Cl,0,101
653695.0,O=C(CSc1n[nH]c(-c2ccccc2O)n1)N1CCCc2ccccc21,1,102
653778.0,COc1ccccc1-n1c(SCC(=O)N2CCCC2)nc2cccnc21,1,103
627902.0,CN(C)c1ccc(N=Cc2nc(-c3ccccc3)oc2O)cc1,1,104
654046.0,COc1ccc(N2CC(C(=O)OCC(=O)c3cccc(OC)c3)CC2=O)cc1,1,106
654078.0,CCn1c(SCc2ccc(C#N)cc2)nnc1-c1ccc(S(=O)(=O)N2CCCCC2)cc1,0,107
654182.0,CCOC(=O)Cc1cc(=O)n2[nH]c(C)c(-c3ccccc3)c2n1,0,108
654244.0,CC1CCN(C(=O)CSc2nc3cccnc3n2C)CC1,0,109
654257.0,CCOc1ccc(N2CC(C(=O)NC(C)C)CC2=O)cc1,0,110
654363.0,O=C(NC1CCCCC1)C(c1cccs1)N(Cc1cccs1)C(=O)c1ccco1,1,111
654435.0,O=C(CSc1nc2ccccc2o1)Nc1nc2ccccc2s1,0,112
5373216.0,COc1n[nH]c2nncnc12,0,113
654546.0,CCc1ccc(N2CC(C(=O)NC3=NCCS3)CC2=O)cc1,0,114
655183.0,COc1ccccc1CN(Cc1cc2cc(C)cc(C)c2[nH]c1=O)Cc1nnnn1CC1CCCO1,1,118
655265.0,COc1ccc(OCc2nnc(SCC(=O)O)n2N)cc1,0,119
5768421.0,COCCCN1C(=O)C(=O)/C(=C(/O)c2ccc(OC(C)C)c(C)c2)C1c1ccncc1,0,120
655401.0,CCN(C1CCCCC1)S(=O)(=O)c1ccc(S(=O)(=O)NCc2ccncc2)cc1,1,121
655439.0,CCOC(=O)C1=C(C)NC(=O)NC1c1ccoc1,0,122
655575.0,CC(C)CCn1nnnc1C(c1ccc(F)cc1)N1CCN(C(=O)c2ccco2)CC1,1,123
586663.0,O=C(NCCc1ccc(Cl)cc1)c1ncn[nH]1,0,124
5769094.0,COC(=O)c1cc(/C=C/c2ccccc2)on1,0,125
655785.0,CC(NC(=O)OCc1ccccc1)C(=O)NCC1CCCO1,0,126
656183.0,CC(C)OC(=O)NCCOC(=O)Nc1cccc(Cl)c1,0,129
656216.0,Oc1ccccc1C1Nc2cccc3cccc(c23)N1,0,130
656257.0,Cc1ccccc1OCC1Cn2c(nc3c2c(=O)[nH]c(=O)n3C)O1,0,131
656355.0,CCc1nnc(NC(=O)C2CCN(C(=O)NC3CCCCC3)CC2)s1,0,133
54686761.0,C=CCn1c(=O)c(C(=O)NCCN(CC)CC)c(O)c2ccccc21.Cl,0,134
657423.0,CN1CCC2(CC1)C1CN(C)CC=C1C(C#N)=C(N)C2(C#N)C#N.O.[OH-],0,135
657488.0,Cc1ccc(C(=O)CNc2nc3c(c(=O)[nH]c(=O)n3C)n2Cc2ccccc2)cc1,1,136
6603060.0,I.OCCNC1=NCCN1,0,137
135449532.0,Cc1cc(=O)[nH]c(-n2nc(C)cc2C)n1,0,139
208296.0,O=c1nc(-c2ccccc2)cn[nH]1,0,140
658313.0,Cc1cc(C)n(S(=O)(=O)Cc2ccccc2)n1,0,141
6602578.0,CCOCCN1CCC(OC(C)=O)C(C)C1.Cl,0,142
658614.0,CCN(CC)c1ccc2c(c1)OC(N)=C(C#N)C2c1cccnc1,1,143
658723.0,COC(=O)c1[nH]c2ccc(Br)cc2c1NC(=O)CN1CCN(C2CCCCC2)CC1,1,144
659040.0,O=c1[nH]c(=S)[nH]nc1Cc1ccccc1,0,147
2838016.0,CC1=CC=CN2CC(O)CN=C12.Cl,0,149
659575.0,CCSc1nnc(NC(=O)C(C(F)(F)F)C(F)(F)F)s1,0,151
659654.0,Fc1cc2nc(-c3ccncc3)[nH]c2cc1F,1,153
659658.0,Cc1c(C=NCCOCc2ccccc2)cnn1C,0,154
1571770.0,COc1cccc(-n2c(O)c(C=NCCN3CCOCC3)c(=O)[nH]c2=O)c1,0,155
6603569.0,Cc1ccc2c(c1)[C@@H]1CN(C)CC[C@@H]1N2S(=O)(=O)c1ccc(F)cc1.Cl,1,156
1922089.0,Cc1cc(C)c(-n2c(O)c(C=NCCN3CCOCC3)c(=O)[nH]c2=O)c(C)c1,1,158
659775.0,CCOC(=O)C1C(=O)NC(C)C1c1ccccc1,0,160
659795.0,Cc1cc(Oc2ccc(-c3ccccc3)cc2)nc(N2CCOCC2)n1,0,161
659824.0,CCN(CC)S(=O)(=O)c1cccc2c(N(C)C)cccc12,0,162
659902.0,CC1CCCCN1c1nc(-c2ccncc2)nc2ccccc12,1,164
659943.0,CSc1nc(Oc2ccc(=O)[nH]n2)nc(N(C)C)n1,0,166
660285.0,COc1ccc(S(=O)(=O)N2CCC(N3CCCCC3)CC2)cc1,0,167
660304.0,O=C(COc1ccccc1)Nc1ccc(-c2nnc(-c3ccco3)o2)cc1,0,168
660522.0,CC(C)OC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(Cc2ccccc2)CC1,0,169
660546.0,Cc1cccc(OCC(=O)N2CCC(N3CCCCCC3)CC2)c1,0,170
660660.0,CC1(C)CC(=O)C2=C(C1)Oc1nc3ccccc3cc1C2C(C#N)C#N,1,172
135420605.0,CCCCc1c(O)nc(SCCN(C)C)n(-c2ccccc2)c1=O,0,173
660831.0,COC1(OC)N=C(NC(=O)Nc2ccccc2)C2(C#N)C(c3ccccc3)C12C#N,0,174
661009.0,COc1cccc(C(=O)Nc2ccc(-c3nnc(-c4ccco4)o3)cc2)c1,1,175
661170.0,O=C(Cc1ccc(Cl)cc1)Nc1cccc(-c2nnc(-c3ccco3)o2)c1,1,176
661178.0,CCCOc1ccc(CSC(CC(=O)O)C(=O)O)cc1,0,177
661187.0,c1ccc(-n2ncc3c(NCCCN4CCOCC4)ncnc32)cc1,0,178
661217.0,N#Cc1nc(-c2cccs2)oc1NCc1ccccc1,1,180
661251.0,COc1ccc(CC(=O)Nc2cccc(-c3nnc(-c4ccco4)o3)c2)cc1,1,181
661259.0,CCOC(=O)c1ccc(NC(=O)COc2ccccc2OC)cc1,1,182
661296.0,CCc1c(C(=O)O)[nH]c2ccc(Br)cc12,0,183
661300.0,S=c1nc(-c2ccccc2)[nH]n1-c1ccccc1,0,184
661349.0,CC(=O)c1c(C(C)=O)c(C)n(NC(=O)c2ccncc2)c1C,0,185
661355.0,Cn1c(=O)n(CCC(=O)O)c2ccccc21,0,186
661394.0,CSc1nc(O)c(Cc2ccccc2)c(=O)[nH]1,0,187
661406.0,CC1(C)CC(=O)C(CCCN2C(=O)c3ccccc3C2=O)C(=O)C1,0,188
6603015.0,CN(C)CC(O)COc1cccc(OCC(O)CN(C)C)c1.Cl,0,189
6603014.0,CN(C)CC(O)COc1ccc(C(C)(C)c2ccc(OCC(O)CN(C)C)cc2)cc1.Cl,0,190
661455.0,Oc1ccccc1CNn1cnnc1,0,191
661513.0,CCn1c(SCC(=O)Nc2ccccc2C(=O)OC)nnc1-c1ccc(N)cc1,1,192
661528.0,Cc1ccc(C2Nc3ccccc3C(=O)N2Cc2ccco2)cc1,1,193
661532.0,CCOC(=O)c1[nH]c2cc3c(cc2c1NC(=O)CN1CCC2(CC1)OCCO2)OCO3,0,194
661552.0,Cc1cn2c(-c3ccncc3)nnc2s1,0,195
661596.0,COc1cccc(C2=CC(c3ccccc3)n3nnnc3N2)c1,0,196
661601.0,CCC(=O)Nc1cc(-c2nn(C)c(=O)c3ccccc23)ccc1N1CCCCC1,0,197
661615.0,CCn1cc(C(=O)NCC2CCCO2)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,0,198
622237.0,CCOC(=O)c1sc2c(c1C)c(=O)c(C(=O)OCC)cn2CC,0,199
661761.0,CCOC(=O)c1[nH]c2cc3c(cc2c1NC(=O)CN1CCc2ccccc2C1)OCO3,1,200
661794.0,Cc1cc2n(n1)SC(Nc1ccccc1)N2,0,201
5389389.0,COc1cccc(/C(O)=C2/C(=O)C(=O)N(c3cc(C)on3)C2c2cccs2)c1,1,202
6881185.0,COCCCNC(=O)c1c(N)n(/N=C/c2ccccn2)c2nc3ccccc3nc12,1,204
6881246.0,CCO/C(C)=N/n1c2nc3ccccc3nc2c2c(=O)n(CC(C)C)c(C)nc21,1,205
662144.0,CCOC(=O)c1c(C)n(C)c2ccc(OC)c(NC(=O)CN3CCN(Cc4ccccc4)CC3)c12,1,206
662243.0,O=C1CC(N(O)C2CC(=O)N(Cc3ccccc3)C2=O)C(=O)N1Cc1ccccc1,1,208
662260.0,CCCCCCOC(=O)C(C#N)c1nc2ccccc2nc1N1CCN(CC)CC1,1,209
662284.0,Cc1ccc(N2C(=O)c3n[nH]c(C)c3C2c2ccccn2)cc1,1,210
662340.0,CCOC(=O)c1cc2c(=O)n3cccc(C)c3nc2n(CCCOC)c1=NC(=O)c1cccnc1,1,211
662344.0,CCOC(=O)c1[nH]c2ccc(OC)cc2c1NC(=O)c1ccc2c(c1)OCO2,1,212
5389504.0,CCOc1ccc(/C(O)=C2/C(=O)C(=O)N(CCOCCO)C2c2cccnc2)cc1,0,213
662407.0,NC(=O)C1CCN(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)CC1,0,214
6603410.0,CC(C)[C@H](N)c1nnc(SCc2ccc(Cl)cc2)o1.Cl,1,215
6603236.0,CCN(CC)CCOC(=O)c1c(C)n(C)c2ccc(OC)cc12.Cl,0,217
6603499.0,COc1ccc(C(=O)OC(C)CN2CCN(C)CC2)cc1OC.Cl,0,218
6602710.0,C=C(C)CSc1nnc([C@@H](N)Cc2c[nH]c3ccccc23)o1.Cl,0,219
662647.0,COc1ccccc1-c1nnc2n1N=C(c1ccc(O)c(O)c1)CS2,1,221
662650.0,COc1ccc(-c2cc(-c3cc(F)ccc3O)[nH]n2)cc1OC,1,222
662710.0,COc1cccc(-c2nnc3sc(-c4ccc(C)cc4)nn23)c1,1,224
662745.0,CCOCCCn1cnc2c([nH]c3cc(OC)ccc32)c1=O,0,225
200556.0,Cl.OC1(c2ccc(F)cc2)CCNC1,0,226
662794.0,CC(C)(C)OC(=O)NCCc1nnc(SCC(=O)Nc2cccc(Cl)c2)o1,1,227
662868.0,Cn1nnc(NC(=O)c2ccco2)n1,0,229
662996.0,CCOc1ccc(-c2nnc3n2N=C(c2ccc(OC)cc2)CS3)cc1,1,232
663055.0,COc1ccc(C)cc1NC(=O)CSc1nnc(-c2ccc(OC)c(OC)c2)n1N,1,233
663121.0,Nc1c(S(=O)(=O)c2ccccc2)c2nc3ccccc3nc2n1Cc1ccco1,1,235
9615342.0,Cn1c[n+](C)cc1/C=N/O.[I-],0,236
663125.0,Oc1ccc(-c2[nH]ncc2-c2ccc(Cl)cc2)c(O)c1,1,237
663143.0,CCOc1ccc(C2=Nn3c(nnc3-c3ccccc3OC)SC2)cc1,1,238
663146.0,COc1ccc2c(c1)[nH]c1c(N3CCN(Cc4ccc5c(c4)OCO5)CC3)ncnc12,1,239
6889315.0,NC(=O)/C(=N\O)c1ccccc1,0,240
663331.0,CN(C)C(=O)COn1c(SCC(=O)N(C)C)nc2ccccc2c1=O,0,243
663337.0,CCOC(=O)c1[nH]c2cc(OC)c(OC)cc2c1NC(=O)c1ccc2c(c1)OCO2,1,244
663340.0,COc1ccc(CCn2c(=N)c(C(=O)NCc3ccco3)cc3c(=O)n4ccccc4nc32)cc1,1,245
663539.0,Cc1nc(SCC(=O)Nc2ccc3c(c2)OCCO3)c2oc3ccccc3c2n1,1,246
