SMILES,LOG HLM_CLint (mL/min/kg),uidx
CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)N[C@H]3CC[C@H](C)CC3)cc2)C1=O,1.28427278,96
CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,2.17668439,558
CN(C)c1ccnc2sc3c(=O)n(N4CCCCCC4)cnc3c12,0.933942603,2613
CCc1nnnn1Cc1noc2c1CCCC2,0.675686709,394
NC1(c2nc(-c3ccsc3)no2)CCCCC1,0.675686709,2715
CC1CCN(CC(=O)Nc2nc(-c3c[nH]c4ccccc34)cs2)CC1,1.578146195,968
CN(Cc1cnc2ccccc2n1)S(=O)(=O)N1CCCC1,1.124112792,1986
Cn1cc(C2CCN(CC(=O)N3CCc4sccc4C3)CC2)cn1,0.675686709,422
Cc1ccc(C)c(S(=O)(=O)N2CCCN(C3CCC3)CC2)c1,2.329505677,1134
CCCc1nnc(NCc2cn3ccc(C)cc3n2)o1,0.675686709,1422
Cc1cc(C)c(NC(=O)CN(C)c2ccc(C#N)nc2)c(C)c1,1.158573556,2173
CC(=O)Nc1cccc(OC(=O)N2CCOCC2)c1,0.877428941,556
c1ccc(NCc2ccc3c(c2)OCCCO3)nc1,1.823089323,2040
COc1ccc2c(c1)C=C(CN1CCC(c3cc(-c4cncnc4)cc(C)n3)CC1)CO2,1.69720318,589
O=C1CCCc2c1[nH]c1cc(-n3ccnc3-c3ccncc3)ccc21,1.426576319,1358
O=c1[nH]c2ccccc2n1C1CCN(c2ncnc3sccc23)CC1,1.543943942,1701
N#Cc1cccc(CNCc2ccccn2)c1,0.675686709,1978
CCOc1cccc(NS(C)(=O)=O)n1,0.675686709,2355
Nc1nc2ccccc2nc1N1CCCC1,2.36483043,252
Cc1ncn(Cc2noc(-c3ccccc3O)n2)c1C,1.299093072,2280
c1ccc(C(c2ccccc2)c2noc(Cn3cnc(C4CC4)n3)n2)cc1,1.579360525,1286
O=C(Nc1nc2ccccc2[nH]1)c1ccncc1,0.675686709,1388
CCN1CCN(S(=O)(=O)Cc2ccc(Cl)c(Cl)c2)CC1,1.917836225,80
CSC1(CNC(=O)N2CCC=C(c3ccccc3)C2)CCOCC1,2.077575009,2103
Cc1cc(C(=O)NC2CCN(C(=O)c3cc(C)sc3C)CC2)no1,0.990027899,1506
