SMILES,LOG HLM_CLint (mL/min/kg),uidx
NS(=O)(=O)C#Cc1ccccc1,1.023705043,157
CN(Cc1c(F)cccc1Cl)C(=O)c1ccc(-n2ccnc2)nc1,1.419294722,793
CCCc1nnc(N2CCC3(CCCC3)C2)s1,1.938094228,2670
Cc1nc(CC(=O)NCc2ccccc2)cs1,0.675686709,639
CN(Cc1cnccn1)Cc1nc(N)c2ccccc2n1,1.1766121,2761
N#CCSCC(=O)NC1CCCCCC1,0.675686709,1169
CC(C)N(C)S(=O)(=O)N1CCC(CNC(=O)CCCn2cccn2)CC1,1.212400703,2093
Cc1ccc2nc(C)c(C(=O)NOCc3ccccc3)cc2c1,1.284453294,674
CCc1noc(-c2ccc(CCN)cc2)n1,2.595662633,1321
CC(C)(C)NC(=O)c1cnc(-c2ccc(Cl)s2)s1,1.619166403,1568
O=c1c2cccnc2ncn1[C@H]1CCN(Cc2ccccc2)C1,0.675686709,2253
CC(C)(O)C(=O)N1CCC(c2ccc3c(NCc4ccccc4F)n[nH]c3n2)CC1,0.921842481,791
COC(=O)N[C@H](C)CNc1nccc(-c2cn(C(C)C)nc2-c2cc(Cl)cc(NS(C)(=O)=O)c2F)n1,1.168644777,2135
CC1(c2nnc(-c3cc(-c4ccccc4)n[nH]3)o2)CCOCC1,1.129883155,820
O=C(Nc1cccnc1)c1ccccc1Cc1ccccc1,1.53058386,1517
N#Cc1cccc(CN2CCOC[C@H](O)C2)c1,0.897791982,1827
Cc1noc(C)c1-c1cc(-c2ccccc2Cl)nc(C2CC2)n1,1.338536173,2084
CCOc1ccc(CNC(=O)Cn2ccc3cc(S(=O)(=O)N4CCCC4)ccc32)cc1,2.626439946,2425
Cn1cc(NC(=O)c2ccccc2C(F)(F)F)cn1,0.675686709,402
N#Cc1cc(CN2CCC(Nc3ncnc4sc(Cl)cc34)CC2)ccc1F,2.089389301,2353
CCc1oc2c(-n3cnnc3)cccc2c1C,2.046417117,1454
c1ccc2c(c1)CCN(Cc1nnc3n1CCC3)C2,0.675686709,1537
Cc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3ccccc3)cc12,0.675686709,139
Cc1cc(NC(=O)CN(C)CCOc2ccccc2)on1,2.220748592,2194
O=C(NCCCn1ccnc1)N1CC2(CCCC2)c2ccccc21,1.838042695,1644
CN(C(=O)C1CCN(c2ncccn2)CC1)C1CCCCCCC1,2.715346394,869
CSc1nccc(N2Cc3cnn(Cc4ccc(F)cc4)c3C2)n1,2.149625496,2532
C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1,1.515038878,2296
CC(C)(C)c1cc(C(=O)CSc2nncn2-c2ccccc2)cc(C(C)(C)C)c1O,1.200689847,2908
CSc1ccc(C)c(C(=O)NCCN2CCC(C)CC2)c1,1.597168449,2034
CC1(C)CCCN1C(=O)c1c(F)cc(C#N)cc1F,0.675686709,2499
O=c1[nH]c2ccccc2n1C1CCN(c2ncnc3sccc23)CC1,1.543943942,1701
CN1CCN(C(=O)c2cc(Br)cnc2Cl)c2cnccc21,0.958611658,1271
O=C(c1cccnc1)N1CCCC(c2cccc(-c3cccc(Cl)c3)n2)C1,2.5987369,249
CCc1c(C)nn(CCNC(=O)CCc2cnccn2)c1C,1.80988279,2111
Clc1ccc(C2(c3ccc(-c4cn[nH]c4)cc3)CCNCC2)cc1,0.675686709,1295
CCN1CCC(Nc2nc(C)cc(C)c2C#N)CC1,0.827821428,648
CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(CC)CC,0.675686709,437
COCCNc1ncnc2ccsc12,0.675686709,1175
Cc1cc(C)c2[nH]c(C(=O)N3CC[C@@](O)(CC(C)C)[C@@H](Oc4ccc(F)cc4)C3)c(C)c2c1,2.144642693,2624
NCCOc1cccc(CC(=O)N2CCC(F)(F)CC2)c1,0.675686709,2542
COc1ccc(Cl)cc1-c1cccc(C(=O)NCCN2CCCC2=O)c1,2.024777015,2593
c1ccc(-c2nc(CSc3ccc(-n4cccn4)nn3)cs2)cc1,1.875755579,1968
CC(C)(C)c1nccc(NCc2ccncc2)n1,1.148787684,1586
Fc1ccc(CN2CCCN(c3ccc4nnnn4n3)CC2)cc1,1.504457269,1955
COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCCCCN3C(=O)C=CC3=O)CC[C@@H]12,0.784331948,3043
O=C(NC1CCNCC1)c1ccc2[nH]ncc2c1,1.41385276,3051
N#Cc1c(F)cccc1Oc1cccnc1,0.675686709,2136
COc1ccccc1-n1ncc2c(=O)[nH]c(SC(C)c3ccccc3)nc21,2.350095969,2924
Cc1cnn(Cc2nnc(-c3ccccc3)s2)c1,1.643383579,817
Cc1ccccc1-n1c(CC2CCN(C(=O)C3CC3)CC2)n[nH]c1=O,0.675686709,703
O=C(Nc1cccc(N2CCNC2=O)c1)C1NCC12CCCC2,0.675686709,3061
CC(C)c1cc(C(=O)N2Cc3ccc(CN4CCN(C)CC4)cc3C2)c(O)cc1O,0.675686709,890
O=C1Nc2ccccc2O[C@H]2C[C@@H]1N(Cc1cccnc1)C2,1.105135338,1597
Cc1cc(C(=O)N2CCOC(C)(C)C2)cc(C)c1OCc1cccnc1,2.430729553,875
CC(=O)N1CCC(C(=O)Nc2nccs2)(c2ccccc2)CC1,0.758230408,978
N#CCCCN1CCN(c2cc(C#N)ccn2)CC1,0.675686709,568
Fc1cccc2c1CN(Cc1c[nH]nc1-c1cccnc1)CC2,1.968226032,3023
Cc1ccc(C(=O)C(=O)NC2CCCC2)cc1,2.016958166,675
Cc1nc(C2CCN(c3ccc(F)cc3C#N)CC2)no1,0.98583049,2792
OCC1CCCCN1Cc1ccc(-c2ccccc2)cc1,1.314330783,71
CCN1C(=O)C(C)(C)COc2cc(NS(=O)(=O)c3cc(C)c(C)cc3OC)ccc21,2.648072874,2950
COc1ccc2cc(-c3[nH]c(-c4ccc(S(C)=O)cc4)nc3-c3ccncc3)ccc2c1,0.695569227,1460
O=C(CC[C@@H]1CCCN2CCCC[C@H]12)NCc1ncc(Cl)cn1,0.675686709,1929
Cc1ncc(-c2ccccn2)c(CCNC(=O)C2CCCC2)n1,0.864392405,1903
NCCn1cc(NC(=O)c2ccccc2)cn1,0.675686709,1651
Cc1nn(-c2ccc(F)cc2)c2ncc(C(=O)Nc3nc(C4CC4)cs3)cc12,0.754424789,1646
N#Cc1ccc(N2CCc3c(ncn3C3CC3)C2)nc1,1.126358727,619
COc1cn(-c2ccc(-n3cccn3)cc2F)nc(-c2ccnn2-c2ccccc2)c1=O,0.675686709,2362
Cc1cc(NC(=O)c2cccs2)no1,1.597804842,594
CCc1ccc(-c2nccn2CC(=O)Nc2ccc(C)cc2F)nc1,1.513270884,879
CC(C)Cc1ccc(-c2nc(-c3ccc(CN4CC(C(=O)O)C4)cc3)no2)cc1,0.880813592,2947
O=C(c1cc(F)ccc1O)N1CCN(C2CCOCC2)CC1,0.675686709,2851
Cc1ccc(-c2ccnc(O)c2C#N)cc1,0.675686709,1509
COc1cccc2c1OC(C)(C)[C@@H]1C[C@H]3CNCC[C@H]3O[C@@H]21,0.675686709,314
O=c1[nH]c2ccccc2n1C1CCN(Cc2nc(Cc3ccccc3)no2)CC1,1.843151769,2868
NS(=O)(=O)N1CCN(Cc2c(F)cccc2N2CCCC2)CC1,1.383582005,2530
COc1cc(CN2C[C@H]3CCc4c(nc(C)[nH]c4=O)[C@H]3C2)cc(OC)c1OC,0.675686709,1942
Cc1ccc2nc(CN(C)Cc3cccc(Cl)c3Cl)cc(=O)n2c1,2.801293236,2252
c1ccc(-n2cc(CNc3ncccn3)cn2)cc1,1.48814161,370
COc1cc2c(cc1OC)[C@@H]1CC(=O)[C@@H](CC(C)C)CN1CC2,1.761950379,2645
Cc1cccc(NC(=O)CN(C)c2ncccc2F)n1,1.208414481,927
c1ccc(-c2ncc(CNc3ncccn3)s2)nc1,1.607111741,2446
Cn1cc(CN2CCN(c3ccccc3O)CC2)c(-c2ccncc2)n1,1.436623741,1257
O=C(NC1CCCCCC1)c1ccc(CSc2nc3ccccc3[nH]2)cc1,2.20751319,1504
NC(=O)CCCSc1nc(N)nc(-c2c(Cl)cc3c4c(cccc24)COC3)n1,1.615466064,2487
