SMILES,LOG SOLUBILITY PH 6.8 (ug/mL),uidx
Cc1ccc(NC(=O)CN(C)C(=O)c2ccccc2F)nc1,1.73239376,651
Cc1cc2ncn(CC(=O)NC(C)(C)C)c2cc1C,1.592176757,1061
c1ccc(-n2cnc3cc(NCc4ccccn4)ccc32)cc1,1.265053789,1709
CNc1nc(-c2cc(OC)cc(OC)c2)ncc1F,1.408748606,1064
O=C(CN1CCCN(c2ccc(C(F)(F)F)cn2)CC1)Nc1ccccc1,0.230448921,1464
CC(C)c1csc(NC(=O)C2CCN(c3ncccn3)CC2)n1,1.65079304,843
Cc1ccc(CNC(=O)c2cccs2)cn1,1.718750735,1386
Cc1c(Cl)cccc1NC(=O)C(C)N1CCCN(c2nccs2)CC1,1.683047038,1104
Cn1c(NC(=O)c2ccn(COc3ccccc3)n2)nc2ccccc21,0.763427994,2129
Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,0.571126277,2137
O=C(O)Cc1nc2ccccc2[nH]1,1.002166062,1984
CN(Cc1cccnc1)Cc1ccc(C#N)o1,1.487138375,549
CCCn1c(=O)c2c(nc3n2CCN3c2ccc(C)cc2)n(C)c1=O,-0.823908741,2123
O=C(Nc1ccc2sccc2c1)N1CCCN(C(=O)Oc2ccccc2)CC1,1.57818061,1481
Cc1cc(C(=O)Nc2cccc(-c3cnco3)c2)c2c(C)nn(C)c2n1,0.941014244,1216
CCOc1ncccc1-c1nc(C)cc(NC)n1,1.560504415,1517
CC(C)c1nc(NCc2cccnc2)n(C)n1,1.581608366,1112
CCC(C)(C)c1ccc(Oc2ccc(NC(=O)Nc3ccccc3OC)cc2)cc1,-0.366531544,2122
O=C(NC1CCCCCC1)c1ccc(-c2cnco2)cc1,0.963787827,1400
O=C(CCn1cncn1)N(CC#Cc1ccccc1)C1CCCC1,1.351409752,1188
COc1ccc(-c2cn3c4ccccc4nc3n2CCO)cc1,1.672282625,948
Cc1nccc(-c2cccc(-n3ccnc3C(C)C)c2)n1,1.606381365,286
CCN(Cc1ccccc1)C(=O)c1ccc(O)cc1O,1.669316881,805
CC(C)NC(=O)c1cc(-c2ccccc2)n(-c2ccccn2)n1,1.73295637,659
Cc1ccc(Cn2nc(C)c(C(N)=O)c2Cl)cc1,1.387567779,441
Cc1cccc(Oc2ncccc2N)c1C,1.656385719,1144
CNC(=O)c1ccc(N2CCCC2)nc1,1.540329475,157
Cc1cc(C)c(-c2csc(NC(=O)Cn3cnnn3)n2)c(C)c1,-0.920818754,1866
COc1ccc(-n2cc3c(c2-c2ccccc2Br)c(=O)n(C)c(=O)n3C)cc1,0.691965103,144
Cc1ccc(C)c(C(=O)Nc2cnc3c(c2)c(C)nn3C)c1,0.367355921,594
CCCn1ncnc1-c1ccccc1SC,1.29841638,610
