SMILES,LOG SOLUBILITY PH 6.8 (ug/mL),uidx
OC1(Cn2nnc(-c3cccnc3)n2)CCCCC1,1.399154334,777
CCc1cc(CN(C)c2nccc(-c3ccc(C)nc3C)n2)on1,1.561339941,1155
COCCOc1ccc2c(c1)ncn2-c1ccc2cccc(N3CCC(N)CC3)c2n1,1.482158695,1749
CN(C)c1cnn(CCC(C#N)(c2ccccc2)c2ccccc2)c(=O)c1,1.346744055,1158
Cc1ccsc1C(=O)NCc1ccc2c(c1)OCCCO2,1.754806855,1505
Cc1nc(CC2CCN(S(=O)(=O)c3c(C)noc3C)CC2)cc(NC2CCCC2)n1,1.781539969,953
Cc1cccc(NC2CCN(Cc3ccncc3)CC2)n1,1.575187845,1436
Cc1nc(COc2ccc(F)cc2)sc1C(=O)N1CCC(C)CC1,1.675595056,1195
N#Cc1ccc(OCc2nnc(S)n2-c2ccccc2)cc1,1.659821158,2133
O=C(COc1ccc(F)cc1F)N1CCNC1=O,1.98686127,2138
c1ccc2nc(N3CCC(c4nc5ccccc5[nH]4)CC3)cnc2c1,0.380211242,1999
CCN(C(C)=O)c1ccc(C)cc1C(=O)O,1.542825427,692
O=C(Nc1nc2ccccc2[nH]1)c1cccnc1,-0.698970004,2127
Cc1nc(CN(C)C(=O)C2c3ccccc3-c3ccccc32)no1,1.513483957,1518
NC(=O)CC1CCN(c2ncccn2)CC1,1.765072201,1293
O=C(O)c1cc2cc(O)c(O)cc2c(C(=O)c2ccc(O)c(O)c2)n1,1.762378429,1554
CC(=O)N1CCN(c2c(Cl)cccc2NC(=O)COc2ccc(C(C)C)cc2)CC1,0.431363764,1202
O=C(CCn1cc(Br)cn1)Nc1nc2ccccc2n1CCN1CCOCC1,1.626340367,2125
Cc1ccc2c(c1)C(=O)CC1(CCN(C(=O)c3ccc4nc(C)cc(O)c4c3)CC1)O2,1.305351369,1447
Cc1cc(-c2ccc(N)nc2)cc(C2CCN(C(=O)CCCc3ccc(F)c(C)c3)CC2)n1,0.926342447,1268
O=C(CCc1ccc2c(c1)OCO2)Nc1cccc2cnccc12,1.650501795,1046
Cc1ccc([C@@H]2N[C@@H](Cc3ccccc3)C(=O)N2C)o1,1.726727209,451
CC(C)(C)c1nc(Cn2nnc3ccccc3c2=O)no1,1.5402043,921
